value of objective function,
0.35863687966542557,
0.2376494041610321,
0.7085432152632434,
0.3531275356856752,
0.3915886267068087,
0.15204357051322454,
0.32886235618593573,
0.23043663818857615,
0.24076969669647,
0.31378194964372663,
0.3374030511075404,
0.3093486032420005,
0.2289523696637239,
0.0855612518403216,
0.28472096318945656,
0.2838865896047839,
0.2904954801039525,
0.2720997832037626,
0.2553535353535353,
0.297462690550861,
0.11600025727932703,
0.3173267138833852,
0.12895415544309477,
0.38085315913797424,
0.31532412544079064,
0.16658993846903275,
0.14971544715447158,
0.27316133089560557,
0.3026748475024338,
0.516407508262347,
